word,phonetic_spelling,phonemes
aspect,AS-pekt,AE  S P EH  K T
assess,uh-SES,AH  S EH  S
assessment,uh-SES-muhnt,AH  S EH  S M AH  N T
assignment,uh-SYN-muhnt,AH  S AY  N M AH  N T
assist,uh-SIST,AH  S IH  S T
assistant,uh-SIS-tuhnt,AH  S IH  S T AH  N T
associate,uh-SOH-shee-ayt (verb) / uh-SOH-shee-uht (noun),AH  S OW  S IY  AH  T
associated,uh-SOH-shee-ay-tid,AH  S OW  S IY  EY  T AH  D
association,uh-SOH-shee-AY-shuhn,AH  S OW  S IY  EY  SH AH  N
assume,uh-SOOM,AH  S UW  M
at,at,AE  T
athlete,ATH-leet,AE  TH L IY  T
atmosphere,AT-muhs-feer,AE  T M AH  S F IH  R
attach,uh-TACH,AH  T AE  CH
attack,uh-TAK,AH  T AE  K
attempt,uh-TEMPT,AH  T EH  M P T
attend,uh-TEND,AH  T EH  N D
attention,uh-TEN-shuhn,AH  T EH  N SH AH  N
attitude,AT-ih-tood,AE  T AH  T UW  D
attorney,uh-TUR-nee,AH  T ER  N IY
attract,uh-TRAKT,AH  T R AE  K T
attraction,uh-TRAK-shuhn,AH  T R AE  K SH AH  N
attractive,uh-TRAK-tiv,AH  T R AE  K T IH  V
audience,AW-dee-uhns,AA  D IY  AH  N S
August,AW-guhst,AA  G AH  S T
aunt,ant or awnt,AE  N T
author,AW-thur,AO  TH ER
authority,uh-THOR-uh-tee,AH  TH AO  R AH  T IY
automatic,aw-tuh-MAT-ik,AO  T AH  M AE  T IH  K
automatically,aw-tuh-MAT-ik-lee,AO  T AH  M AE  T IH  K L IY
available,uh-VAY-luh-buhl,AH  V EY  L AH  B AH  L
average,AV-er-ij,AE  V ER  IH  JH
avoid,uh-VOYD,AH  V OY  D
award,uh-WAWRD,AH  W AO  R D
aware,uh-WAIR,AH  W EH  R
away,uh-WAY,AH  W EY
awesome,AW-suhm,AA  S AH  M
awful,AW-fuhl,AA  F AH  L
baby,BAY-bee,B EY  B IY
back,bak,B AE  K
background,BAK-grownd,B AE  K G R AW  N D
backward,BAK-werd,B AE  K W ER  D
bacteria,bak-TEER-ee-uh,B AE  K T IH  R IY  AH
bad,bad,B AE  D
badly,BAD-lee,B AE  D L IY
bag,bag,B AE  G
bake,bayk,B EY  K
balance,BAL-uhns,B AE  L AH  N S
ball,bawl,B AO  L
ban,ban,B AE  N
banana,buh-NAH-nuh,B AH  N AE  N AH
band,band,B AE  N D
bar,bar,B AA  R
barrier,BAIR-ee-er,B AE  R IY  ER
base,bays,B EY  S
baseball,BAYS-bawl,B EY  S B AO  L
based,bayst,B EY  S T
basic,BAY-sik,B EY  S IH  K
basically,BAY-sik-lee,B EY  S IH  K L IY
basis,BAY-sis,B EY  S AH  S
basketball,BAS-kit-bawl,B AE  S K AH  T B AO  L
bath,bath,B AE  TH
bathroom,BATH-room,B AE  TH R UW  M
battery,BAT-uh-ree,B AE  T ER  IY
battle,BAT-l,B AE  T AH  L
beach,beech,B IY  CH
bean,been,B IY  N
beat,beet,B IY  T
beautiful,BYOO-tuh-fuhl,B Y UW  T AH  F AH  L
beauty,BYOO-tee,B Y UW  T IY
because,bih-KAWZ,B IH  K AO  Z
become,bih-KUHM,B IH  K AH  M
bed,bed,B EH  D
bedroom,BED-room,B EH  D R UW  M
bee,bee,B IY
beef,beef,B IY  F
beer,beer,B IH  R
before,bih-FOR,B IH  F AO  R
beg,beg,B EH  G
begin,bih-GIN,B IH  G IH  N
beginning,bih-GIN-ing,B IH  G IH  N IH  NG
behave,bih-HAYV,B IH  HH EY  V
behavior,bih-HAYV-yer,B IH  HH EY  V Y ER
behind,bih-HYND,B IH  HH AY  N D
being,BEE-ing,B IY  IH  NG
belief,bih-LEEF,B IH  L IY  F
believe,bih-LEEV,B IH  L IY  V
bell,bel,B EH  L
belong,bih-LAWNG,B IH  L AO  NG
below,bih-LOH,B IH  L OW
belt,belt,B EH  L T
bend,bend,B EH  N D
benefit,BEN-uh-fit,B EH  N AH  F IH  T
bent,bent,B EH  N T
best,best,B EH  S T
bet,bet,B EH  T
better,BET-er,B EH  T ER
between,bih-TWEEN,B IH  T W IY  N
beyond,bee-YOND,B IH  AA  N D
bicycle,BYE-si-kuhl,B AY  S IH  K AH  L
big,big,B IH  G
bike,byk,B AY  K
bill,bil,B IH  L
billion,BIL-yuhn,B IH  L Y AH  N
biology,by-OL-uh-jee,B AY  AA  L AH  JH IY
bird,burd,B ER  D
birth,burth,B ER  TH
birthday,BURTH-day,B ER  TH D EY
bit,bit,B IH  T
bite,byt,B AY  T
bitter,BIT-er,B IH  T ER
black,blak,B L AE  K
blame,blaym,B L EY  M
blank,blangk,B L AE  NG K
blind,blynd,B L AY  N D
block,blok,B L AA  K
blond,blond,B L AA  N D
blood,bluhd,B L AH  D
blow,bloh,B L OW
blue,bloo,B L UW
board,bord,B AO  R D
boat,boht,B OW  T
body,BAH-dee,B AA  D IY
boil,boyl,B OY  L
bomb,bom,B AA  M
bond,bond,B AA  N D
bone,bohn,B OW  N
book,buk,B UH  K
boot,boot,B UW  T
border,BOR-der,B AO  R D ER
bored,bord,B AO  R D
boring,BOR-ing,B AO  R IH  NG
born,born,B AO  R N
borrow,BOR-oh,B AA  R OW
boss,bawss,B AA  S
both,both,B OW  TH
bother,BAW-ther,B AA  DH ER
bottle,BOT-l,B AA  T AH  L
bottom,BOT-uhm,B AA  T AH  M
bowl,bohl,B OW  L
box,boks,B AA  K S
boy,boy,B OY
boyfriend,BOY-frend,B OY  F R EH  N D
brain,brayn,B R EY  N
branch,branch,B R AE  N CH
brand,brand,B R AE  N D
brave,brayv,B R EY  V
bread,bred,B R EH  D
break,brayk,B R EY  K
breakfast,BREK-fuhst,B R EH  K F AH  S T
breast,brest,B R EH  S T
breath,breth,B R EH  TH
breathe,breeth,B R IY  DH
breathing,BREETH-ing,B R IY  DH IH  NG
bride,bryd,B R AY  D
bridge,brij,B R IH  JH
brief,breef,B R IY  F
bright,bryt,B R AY  T
brilliant,BRIL-yuhnt,B R IH  L Y AH  N T
bring,bring,B R IH  NG
broad,brawd,B R AO  D
broadcast,BRAWD-kast,B R AO  D K AE  S T
broken,BROH-kuhn,B R OW  K AH  N
brother,BRUHTH-er,B R AH  DH ER
brown,brown,B R AW  N
brush,bruhsh,B R AH  SH
bubble,BUH-buhl,B AH  B AH  L
budget,BUHJ-it,B AH  JH IH  T
build,bild,B IH  L D
building,BIL-ding,B IH  L D IH  NG
bullet,BUL-it,B UH  L AH  T
bunch,bunch,B AH  N CH
burn,burn,B ER  N
bury,BER-ee,B EH  R IY
bus,bus,B AH  S
bush,buhsh,B UH  SH
business,BIZ-nis,B IH  Z N AH  S
businessman,BIZ-nis-man,B IH  Z N AH  S M AE  N
busy,BIZ-ee,B IH  Z IY
but,but,B AH  T
butter,BUH-ter,B AH  T ER
button,BUH-tuhn,B AH  T AH  N
buy,by,B AY
by,by,B AY
bye,by,B AY
cable,KAY-buhl,K EY  B AH  L
cafe,ka-FAY,K AH  F EY
cake,kayk,K EY  K
calculate,KAL-kyuh-layt,K AE  L K Y AH  L EY  T
call,kawl,K AO  L
calm,kahm,K AA  M
camera,KAM-ruh or KAM-er-uh,K AE  M ER  AH
camp,kamp,K AE  M P
campaign,kam-PAYN,K AE  M P EY  N
camping,KAM-ping,K AE  M P IH  NG
campus,KAM-puhs,K AE  M P AH  S
can,kan,K AE  N
cancel,KAN-suhl,K AE  N S AH  L
cancer,KAN-ser,K AE  N S ER
candidate,KAN-di-deyt or KAN-duh-deyt,K AE  N D AH  D EY  T
candy,KAN-dee,K AE  N D IY
cannot,ka-NOT,K AE  N AA  T
cap,kap,K AE  P
capable,KAY-puh-buhl,K EY  P AH  B AH  L
capacity,kuh-PAS-uh-tee,K AH  P AE  S AH  T IY
capital,KAP-i-tuhl,K AE  P AH  T AH  L
captain,KAP-tin,K AE  P T AH  N
capture,KAP-chur,K AE  P CH ER
car,kar,K AA  R
card,kahrd,K AA  R D
care,kair,K EH  R
career,kuh-REER,K ER  IH  R
careful,KAIR-fuhl,K EH  R F AH  L
carefully,KAIR-fuh-lee,K EH  R F AH  L IY
careless,KAIR-lis,K EH  R L AH  S
carpet,KAR-pit,K AA  R P AH  T
carrot,KAR-uht,K AE  R AH  T
carry,KAR-ee,K AE  R IY
cartoon,kar-TOON,K AA  R T UW  N
case,kays,K EY  S
cash,kash,K AE  SH
cast,kast,K AE  S T
cat,kat,K AE  T
catch,kach,K AE  CH
category,KAT-uh-gawr-ee,K AE  T AH  G AO  R IY
cause,kawz,K AA  Z
CD,see-DEE,S IY  D IY
ceiling,SEE-ling,S IY  L IH  NG
celebrate,SEL-uh-brayt,S EH  L AH  B R EY  T
celebration,sel-uh-BRAY-shun,S EH  L AH  B R EY  SH AH  N
celebrity,suh-LEB-rih-tee,S AH  L EH  B R IH  T IY
cell,sel,S EH  L
cent,sent,S EH  N T
center,SEN-ter,S EH  N T ER
central,SEN-truhl,S EH  N T R AH  L
century,SEN-chuh-ree,S EH  N CH ER  IY
ceremony,SER-uh-moh-nee,S EH  R AH  M OW  N IY
certain,SUR-tuhn,S ER  T AH  N
certainly,SUR-tuhn-lee,S ER  T AH  N L IY
chain,chayn,CH EY  N
chair,chayr,CH EH  R
chairman,CHAYR-muhn,CH EH  R M AH  N
challenge,CHAL-inj,CH AE  L AH  N JH
champion,CHAM-pee-uhn,CH AE  M P IY  AH  N
chance,chans,CH AE  N S
change,chaynj,CH EY  N JH
channel,CHAN-uhl,CH AE  N AH  L
chapter,CHAP-ter,CH AE  P T ER
character,KAR-ik-ter,K EH  R IH  K T ER
characteristic,kar-ik-tuh-RIS-tik,K EH  R AH  K T ER  IH  S T IH  K
charge,charj,CH AA  R JH
charity,CHA-rih-tee,CH EH  R IH  T IY
chart,chart,CH AA  R T
chat,chat,CH AE  T
cheap,cheep,CH IY  P
cheat,cheet,CH IY  T
check,chek,CH EH  K
cheerful,CHEER-fuhl,CH IH  R F AH  L
cheese,cheez,CH IY  Z
chef,shef,SH EH  F
chemical,KEM-ih-kuhl,K EH  M AH  K AH  L
chemistry,KEM-ih-stree,K EH  M AH  S T R IY
chest,chest,CH EH  S T
chicken,CHIK-in,CH IH  K AH  N
chief,cheef,CH IY  F
child,chyld,CH AY  L D
childhood,CHYLD-hood,CH AY  L D HH UH  D
chip,chip,CH IH  P
chocolate,CHAWK-lit or CHAW-kuh-lit,CH AO  K L AH  T
choice,choys,CH OY  S
choose,chooz,CH UW  Z
church,church,CH ER  CH
cigarette,sig-uh-RET,S IH  G ER  EH  T
circle,SUR-kuhl,S ER  K AH  L
circumstance,SUR-kuhm-stans,S ER  K AH  M S T AE  N S
cite,syt,S AY  T
citizen,SIT-ih-zuhn,S IH  T AH  Z AH  N
city,SIT-ee,S IH  T IY
civil,SIV-uhl,S IH  V AH  L
claim,klaym,K L EY  M
class,klas,K L AE  S
classic,KLAS-ik,K L AE  S IH  K
classical,KLAS-i-kuhl,K L AE  S IH  K AH  L
classroom,KLAS-room,K L AE  S R UW  M
clause,klawz,K L AO  Z
clean,kleen,K L IY  N
clear,kleer,K L IH  R
clearly,KLEER-lee,K L IH  R L IY
clerk,klurk or klark (varies by region),K L ER  K
clever,KLEV-er,K L EH  V ER
click,klik,K L IH  K
client,KLY-uhnt,K L AY  AH  N T
climate,KLY-mit,K L AY  M AH  T
climb,klym,K L AY  M
clock,klok,K L AA  K
close,klohz (verb) / klohs (adjective),K L OW  S
closed,klohzd,K L OW  Z D
closely,KLOHZ-lee,K L OW  S L IY
closet,KLAW-zit,K L AA  Z AH  T
cloth,klawth,K L AO  TH
clothes,klohz,K L OW  DH Z
clothing,KLOH-thing,K L OW  DH IH  NG
cloud,klowd,K L AW  D
club,klub,K L AH  B
clue,kloo,K L UW
coach,kohch,K OW  CH
coal,kohl,K OW  L
coast,kohst,K OW  S T
coat,koht,K OW  T
code,kohd,K OW  D
coffee,KAW-fee,K AA  F IY
coin,koyn,K OY  N
cold,kohld,K OW  L D
collapse,kuh-LAPS,K AH  L AE  P S
colleague,KAW-leeg,K AA  L IY  G
collect,kuh-LEKT,K AH  L EH  K T
collection,kuh-LEK-shuhn,K AH  L EH  K SH AH  N
college,KAWL-ij,K AA  L IH  JH
color,KUHL-er,K AH  L ER
colored,KUHL-erd,K AH  L ER  D
column,KAWL-uhm,K AA  L AH  M
combination,kom-buh-NAY-shuhn,K AA  M B AH  N EY  SH AH  N
combine,kuh-BYN (verb) / KOM-byn (noun),K AA  M B AY  N
come,kum,K AH  M
comedy,KAW-muh-dee,K AA  M AH  D IY
comfort,KUHM-fert,K AH  M F ER  T
comfortable,KUHM-fert-uh-buhl,K AH  M F ER  T AH  B AH  L
command,kuh-MAND,K AH  M AE  N D
comment,KOM-ent,K AA  M EH  N T
commercial,kuh-MUR-shuhl,K AH  M ER  SH AH  L
commission,kuh-MISH-uhn,K AH  M IH  SH AH  N
commit,kuh-MIT,K AH  M IH  T
commitment,kuh-MIT-muhnt,K AH  M IH  T M AH  N T
committee,kuh-MIT-ee,K AH  M IH  T IY
common,KOM-uhn,K AA  M AH  N
commonly,KOM-uhn-lee,K AA  M AH  N L IY
communicate,kuh-MYOO-nih-kayt,K AH  M Y UW  N AH  K EY  T
communication,kuh-myoo-nih-KAY-shuhn,K AH  M Y UW  N AH  K EY  SH AH  N
community,kuh-MYOO-nih-tee,K AH  M Y UW  N AH  T IY
company,KUHM-puh-nee,K AH  M P AH  N IY
compare,kuh-MPAIR,K AH  M P EH  R
comparison,kuh-MPAIR-ih-suhn,K AH  M P EH  R AH  S AH  N
compete,kuhm-PEET,K AH  M P IY  T
competition,kom-puh-TISH-uhn,K AA  M P AH  T IH  SH AH  N
competitive,kuhm-PET-ih-tiv,K AH  M P EH  T AH  T IH  V
competitor,kuhm-PET-ih-ter,K AH  M P EH  T AH  T ER
complain,kuhm-PLAYN,K AH  M P L EY  N
complaint,kuhm-PLAYNT,K AH  M P L EY  N T
complete,kuhm-PLEET,K AH  M P L IY  T
completely,kuhm-PLEET-lee,K AH  M P L IY  T L IY
complex,KOM-pleks (noun) / kuhm-PLEKS (adjective),K AA  M P L EH  K S
complicated,KOM-pli-kay-tid,K AA  M P L AH  K EY  T AH  D
component,kuhm-POH-nuhnt,K AH  M P OW  N AH  N T
computer,kuhm-PYOO-ter,K AH  M P Y UW  T ER
concentrate,KON-suhn-trayt,K AA  N S AH  N T R EY  T
concentration,kon-suhn-TRAY-shuhn,K AA  N S AH  N T R EY  SH AH  N
concept,KON-sept,K AA  N S EH  P T
concern,kuhn-SURN,K AH  N S ER  N
concerned,kuhn-SURND,K AH  N S ER  N D
concert,KON-sert,K AA  N S ER  T
conclude,kuhn-KLO,K AH  N K L UW  D
dad,dad,D AE  D
daily,DAY-lee,D EY  L IY
damage,DAM-ij,D AE  M AH  JH
dance,dans,D AE  N S
dancer,DAN-ser,D AE  N S ER
dancing,DAN-sing,D AE  N S IH  NG
danger,DAYN-jer,D EY  N JH ER
dangerous,DAYN-jer-uhs,D EY  N JH ER  AH  S
dark,dark,D AA  R K
data,DAY-tuh or DAH-tuh,D EY  T AH
date,dayt,D EY  T
daughter,DAW-ter,D AO  T ER
day,day,D EY
dead,ded,D EH  D
deal,deel,D IY  L
dear,deer,D IH  R
death,deth,D EH  TH
debate,dih-BAYT,D AH  B EY  T
debt,det,D EH  T
decade,DEK-ay-d,D EH  K EY  D
December,dih-SEM-ber,D IH  S EH  M B ER
decent,DEE-suhnt,D IY  S AH  N T
decide,dih-SYD,D IH  S AY  D
decision,dih-SIZH-un,D IH  S IH  ZH AH  N
declare,dih-KLAIR,D IH  K L EH  R
decline,dih-KLYN,D IH  K L AY  N
decorate,DEK-uh-rayt,D EH  K ER  EY  T
decoration,dek-uh-RAY-shun,D EH  K ER  EY  SH AH  N
decrease,dih-KREES (verb) / DEE-krees (noun),D IH  K R IY  S
deep,deep,D IY  P
deeply,DEEP-lee,D IY  P L IY
defeat,dih-FEET,D IH  F IY  T
defend,dih-FEND,D IH  F EH  N D
defense,dih-FENS,D IH  F EH  N S
define,dih-FYN,D IH  F AY  N
definite,DEF-uh-nit,D EH  F AH  N AH  T
definitely,DEF-uh-nit-lee,D EH  F AH  N AH  T L IY
definition,def-uh-NISH-un,D EH  F AH  N IH  SH AH  N
degree,dih-GREE,D IH  G R IY
delay,dih-LAY,D IH  L EY
deliberate,dih-LIB-er-it (adjective) / dih-LIB-er-ayt (verb),D IH  L IH  B ER  AH  T
deliberately,dih-LIB-er-it-lee,D IH  L IH  B ER  AH  T L IY
delicious,dih-LISH-uhs,D IH  L IH  SH AH  S
deliver,dih-LIV-er,D IH  L IH  V ER
delivery,dih-LIV-er-ee,D IH  L IH  V ER  IY
demand,dih-MAND,D IH  M AE  N D
demonstrate,DEM-uhn-strayt,D EH  M AH  N S T R EY  T
dentist,DEN-tist,D EH  N T AH  S T
deny,dih-NY,D IH  N AY
department,dih-PART-muhnt,D IH  P AA  R T M AH  N T
departure,dih-PAR-cher,D IH  P AA  R CH ER
depend,dih-PEND,D IH  P EH  N D
depressed,dih-PREST,D IH  P R EH  S T
depressing,dih-PRES-ing,D IH  P R EH  S IH  NG
depth,depth,D EH  P TH
describe,dih-SKRYB,D IH  S K R AY  B
description,dih-SKRIP-shun,D IH  S K R IH  P SH AH  N
desert,DEZ-ert (noun) / dih-ZERT (verb),D EH  Z ER  T
deserve,dih-ZURV,D IH  Z ER  V
design,dih-ZYN,D IH  Z AY  N
designer,dih-ZY-ner,D IH  Z AY  N ER
desire,dih-ZYR,D IH  Z AY  ER
desk,desk,D EH  S K
desperate,DES-per-it,D EH  S P R IH  T
despite,dih-SPYT,D IH  S P AY  T
dessert,dih-ZURT,D IH  Z ER  T
destination,des-tuh-NAY-shun,D EH  S T AH  N EY  SH AH  N
destroy,dih-STROY,D IH  S T R OY
detail,DEE-tayl (noun) / dih-TAYL (verb),D IH  T EY  L
detailed,DEE-tayld,D IH  T EY  L D
detect,dih-TEKT,D IH  T EH  K T
detective,dih-TEK-tiv,D IH  T EH  K T IH  V
determine,dih-TUR-min,D AH  T ER  M AH  N
determined,dih-TUR-mind,D IH  T ER  M AH  N D
develop,dih-VEL-up,D IH  V EH  L AH  P
development,dih-VEL-up-muhnt,D IH  V EH  L AH  P M AH  N T
device,dih-VYS,D IH  V AY  S
diagram,DY-uh-gram,D AY  AH  G R AE  M
dialogue,DY-uh-log,D AY  AH  L AO  G
diamond,DY-muhnd,D AY  M AH  N D
diary,DY-uh-ree,D AY  ER  IY
dictionary,DIK-shuh-ner-ee,D IH  K SH AH  N EH  R IY
die,dy,D AY
diet,DY-it,D AY  AH  T
difference,DIF-er-uhns,D IH  F ER  AH  N S
different,DIF-er-uhnt,D IH  F ER  AH  N T
differently,DIF-er-uhnt-lee,D IH  F R AH  N T L IY
difficult,DIF-ih-kuhlt,D IH  F AH  K AH  L T
difficulty,DIF-ih-kuhl-tee,D IH  F AH  K AH  L T IY
dig,dig,D IH  G
digital,DIJ-i-tuhl,D IH  JH AH  T AH  L
dinner,DIN-er,D IH  N ER
direct,dih-REKT or DY-rekt,D ER  EH  K T
direction,dih-REK-shun or DY-rek-shun,D ER  EH  K SH AH  N
directly,dih-REKT-lee or DY-rekt-lee,D ER  EH  K T L IY
director,dih-REK-ter or DY-rek-ter,D ER  EH  K T ER
dirt,dert,D ER  T
dirty,DUR-tee,D ER  T IY
disadvantage,dis-uhd-VAN-tij,D IH  S AH  D V AE  N T IH  JH
disagree,dis-uh-GREE,D IH  S AH  G R IY
disappear,dis-uh-PEER,D IH  S AH  P IH  R
disappointed,dis-uh-POYNT-id,D IH  S AH  P OY  N T IH  D
disappointing,dis-uh-POYNT-ing,D IH  S AH  P OY  N T IH  NG
disaster,dih-ZAS-ter,D IH  Z AE  S T ER
discipline,DIS-uh-plin,D IH  S AH  P L AH  N
discount,DIS-kownt (noun) / dis-KOWNT (verb),D IH  S K AW  N T
discover,dis-KUH-ver,D IH  S K AH  V ER
discovery,dis-KUH-ver-ee,D IH  S K AH  V ER  IY
discuss,dis-KUSS,D IH  S K AH  S
discussion,dis-KUSH-un,D IH  S K AH  SH AH  N
disease,dih-ZEEZ,D IH  Z IY  Z
dish,dish,D IH  SH
dishonest,dis-ON-ist,D IH  S AA  N AH  S T
disk,disk,D IH  S K
dislike,dis-LYK,D IH  S L AY  K
dismiss,dis-MISS,D IH  S M IH  S
display,dih-SPLAY,D IH  S P L EY
distance,DIS-tuhns,D IH  S T AH  N S
distribute,dih-STRIB-yoot,D IH  S T R IH  B Y UW  T
distribution,dis-truh-BYOO-shun,D IH  S T R AH  B Y UW  SH AH  N
district,DIS-trikt,D IH  S T R IH  K T
divide,dih-VYD,D IH  V AY  D
division,dih-VIZH-un,D IH  V IH  ZH AH  N
divorced,dih-VORST,D IH  V AO  R S T
do,doo,D UW
auxiliary,awg-ZIL-yuh-ree,AA  G Z IH  L Y ER  IY
doctor,DOK-ter,D AA  K T ER
document,DOK-yuh-muhnt (noun) / DOK-yuh-ment (verb),D AA  K Y AH  M EH  N T
documentary,dok-yuh-MEN-tuh-ree,D AA  K Y AH  M EH  N T ER  IY
dog,dog,D AO  G
dollar,DOL-er,D AA  L ER
domestic,duh-MES-tik,D AH  M EH  S T IH  K
dominate,DOM-uh-nayt,D AA  M AH  N EY  T
donate,DOH-nayt,D OW  N EY  T
door,dor,D AO  R
double,DUH-buhl,D AH  B AH  L
doubt,dowt,D AW  T
down,down,D AW  N
download,DOWN-lohd,D AW  N L OW  D
downstairs,down-STAIRZ,D AW  N S T EH  R Z
downtown,down-TOWN,D AW  N T AW  N
downward,DOWN-werd,D AW  N W ER  D
dozen,DUH-zuhn,D AH  Z AH  N
draft,draft,D R AE  F T
drag,drag,D R AE  G
drama,DRAH-muh,D R AA  M AH
dramatic,druh-MAT-ik,D R AH  M AE  T IH  K
draw,draw,D R AO
drawing,DRAW-ing,D R AO  IH  NG
dream,dreem,D R IY  M
dress,dres,D R EH  S
dressed,drest,D R EH  S T
drink,dringk,D R IH  NG K
drive,dryv,D R AY  V
driver,DRY-ver,D R AY  V ER
driving,DRY-ving,D R AY  V IH  NG
drop,drop,D R AA  P
drug,drug,D R AH  G
drum,drum,D R AH  M
drunk,druhnk,D R AH  NG K
dry,dry,D R AY
due,doo,D UW
during,DUR-ing,D UH  R IH  NG
dust,duhst,D AH  S T
duty,DOO-tee,D UW  T IY
ear,eer,IH  R
early,UR-lee,ER  L IY
earn,urn,ER  N
earth,urth,ER  TH
earthquake,URTH-kwake,ER  TH K W EY  K
easily,EE-zuh-lee,IY  Z AH  L IY
east,eest,IY  S T
eastern,EES-turn,IY  S T ER  N
easy,EE-zee,IY  Z IY
eat,eet,IY  T
economic,eh-kuh-NOM-ik,EH  K AH  N AA  M IH  K
economy,ih-KON-uh-mee,IH  K AA  N AH  M IY
edge,ej,EH  JH
edit,ED-it,EH  D AH  T
edition,ih-DISH-uhn,AH  D IH  SH AH  N
editor,ED-ih-ter,EH  D AH  T ER
educate,EJ-uh-kayt,EH  JH AH  K EY  T
educated,EJ-uh-kay-tid,EH  JH AH  K EY  T AH  D
education,eh-joo-KAY-shun,EH  JH AH  K EY  SH AH  N
educational,eh-joo-KAY-shuh-nuhl,EH  JH AH  K EY  SH AH  N AH  L
effect,ih-FEKT,IH  F EH  K T
effective,ih-FEK-tiv,IH  F EH  K T IH  V
effectively,ih-FEK-tiv-lee,IH  F EH  K T IH  V L IY
efficient,ih-FISH-uhnt,IH  F IH  SH AH  N T
effort,EF-ert,EH  F ER  T
egg,eg,EH  G
eight,eyt,EY  T
eighteen,ay-TEEN,EY  T IY  N
eighty,AY-tee,EY  T IY
either,EE-thur or AY-thur,IY  DH ER
elderly,EL-der-lee,EH  L D ER  L IY
elect,ih-LEKT,IH  L EH  K T
election,ih-LEK-shun,IH  L EH  K SH AH  N
electric,ih-LEK-trik,IH  L EH  K T R IH  K
electrical,ih-LEK-truh-kuhl,IH  L EH  K T R IH  K AH  L
electricity,eh-lek-TRIS-ih-tee,IH  L EH  K T R IH  S AH  T IY
electronic,ih-lek-TRON-ik,IH  L EH  K T R AA  N IH  K
element,EL-uh-muhnt,EH  L AH  M AH  N T
elephant,EL-uh-fuhnt,EH  L AH  F AH  N T
elevator,EL-uh-vay-ter,EH  L AH  V EY  T ER
eleven,ih-LEV-uhn,IH  L EH  V AH  N
